_SSID,Year,OtherTopic,Data,Security,Application,Infra,FrontEnd,BackEnd,SaaS,Community,StartUp,Enterprise,Academic,SessionCount
UDGGAV,2021,62,57,60,64,63,59,61,60,60,56,63,54,212
B8MM7N,2021,63,60,56,67,65,62,62,60,70,60,62,59,212
WYXPBE,2021,64,58,61,66,63,61,57,59,72,67,61,65,212
WQGA3C,2021,58,52,52,59,52,60,55,55,58,59,54,54,212
EU9W89,2021,67,60,56,61,58,60,58,56,59,57,57,58,212
9RQKCP,2021,61,58,55,62,63,61,60,57,59,58,58,55,212
FSN8AR,2021,67,57,54,64,61,68,60,56,61,60,59,55,212
UBSHRL,2021,60,59,59,63,65,58,67,60,64,63,59,57,212
ZQPTKW,2021,63,57,57,64,67,60,61,60,64,58,62,55,212
3KAF9R,2021,61,63,54,64,60,62,62,60,64,60,67,57,212
WLTVU7,2021,65,58,57,66,63,61,59,57,63,58,61,56,212
DZMCHW,2021,61,65,53,62,58,62,60,54,60,58,61,54,212
RRRPSB,2021,60,59,55,66,63,67,65,62,61,61,62,55,212
Q9S7PT,2021,62,58,53,62,64,63,67,57,58,56,60,54,212
XV3NGT,2021,66,61,65,60,72,60,63,62,63,59,65,56,212
EH9ZEV,2021,60,56,56,59,63,56,59,57,65,60,60,55,212
RFPBRP,2021,66,56,57,68,61,64,59,62,71,65,62,62,212
CPJKQM,2021,60,56,62,64,63,58,60,64,60,58,61,55,212
8YQ8QL,2021,62,63,56,58,64,54,61,56,62,60,61,55,212
QR9PZ7,2021,63,59,56,66,65,61,60,60,70,64,62,56,212
7YY9MN,2021,63,59,56,64,63,61,61,60,67,63,66,56,212
KZJX9Y,2021,60,61,56,59,59,56,58,56,65,54,59,58,212
RBRZJH,2021,63,55,55,55,53,57,54,49,58,56,54,60,212
WQ8RFR,2021,62,60,58,59,66,58,66,60,59,57,62,55,212
ULFGUH,2021,58,68,53,55,57,54,61,52,56,54,58,54,212
B3LBXL,2021,63,66,57,60,62,59,63,56,60,59,60,55,212
MNHWKD,2021,61,67,59,62,62,59,65,57,58,55,66,55,212
CPZMQH,2021,60,56,53,63,56,59,56,60,62,60,63,52,212
G8R3UJ,2021,66,59,56,64,63,61,59,58,72,66,61,60,212
WEQ8A3,2021,65,59,60,59,61,58,59,58,64,61,61,60,212
XD9P3F,2021,68,55,52,58,56,56,57,56,57,55,57,52,212
XXN7HM,2021,68,60,59,65,63,63,62,61,65,62,65,56,212
9X7UAG,2021,65,63,60,61,70,60,61,59,60,63,63,57,212
EMJKKJ,2021,67,63,58,58,64,58,61,55,63,60,63,59,212
CQ7WUF,2021,66,59,58,63,59,62,61,57,63,58,61,58,212
YTHD8Z,2021,62,56,59,57,56,56,56,53,56,57,56,58,212
UMSVAR,2021,69,60,56,69,63,73,66,60,65,61,64,57,212
7GFQ89,2021,64,61,55,63,62,65,65,58,61,59,62,56,212
UDURJY,2021,61,62,59,60,61,57,62,58,61,55,63,60,212
WBHVFB,2021,62,59,55,63,59,63,64,58,58,57,61,56,212
W8EBBE,2021,64,56,56,58,59,60,53,57,58,56,59,61,212
EY8XKK,2021,63,63,58,65,65,60,62,60,70,65,64,62,212
JRFTAA,2021,62,55,52,59,57,56,54,57,58,56,58,53,212
HPHWNV,2021,63,59,57,67,64,60,57,60,73,65,62,58,212
ZG9XHD,2021,62,60,54,62,63,62,66,60,60,54,60,54,212
XW38RG,2021,66,58,67,64,66,58,58,63,73,63,65,61,212
UTCWTF,2021,69,60,61,63,60,63,57,58,69,65,61,67,212
QKFDFS,2021,62,59,58,65,61,62,58,59,67,60,61,62,212
URN3MG,2021,64,67,56,65,62,62,62,57,64,62,62,57,212
CFXADM,2021,67,58,56,58,60,58,57,56,62,59,58,58,212
DDXHZ8,2021,62,56,51,65,60,61,58,55,60,57,59,52,212
39M73K,2021,67,62,55,66,61,59,57,54,67,58,60,57,212
TLKEH7,2021,67,58,55,68,62,62,62,63,64,59,63,57,212
YRNA9D,2021,62,66,58,62,64,62,65,58,67,60,61,56,212
JP3EMZ,2021,62,56,52,64,61,65,68,57,59,57,58,56,212
7ZRVGT,2021,68,61,64,66,66,63,59,60,71,63,63,60,212
DDSVYN,2021,63,66,56,60,63,60,63,56,59,57,61,57,212
AMEQPS,2021,61,56,52,61,56,63,60,55,63,57,58,55,212
YMQZJG,2021,67,58,57,64,62,61,60,58,75,62,63,60,212
ASN8ZL,2021,68,63,58,63,72,63,67,61,63,59,68,56,212
EPMLYU,2021,59,54,59,62,61,61,61,55,70,59,59,56,212
YM7ZHH,2021,63,54,60,59,60,57,56,58,65,60,60,58,212
L3XAL8,2021,63,62,58,58,59,55,59,58,67,57,62,58,212
H3TKQA,2021,67,63,60,65,65,60,61,61,71,67,64,59,212
XQUYSS,2021,60,57,56,61,63,59,57,59,76,66,61,57,212
7MKHEN,2021,63,55,54,62,60,58,58,58,69,62,62,57,212
XQFBSS,2021,58,53,51,53,50,53,55,48,55,51,53,54,212
XL7QML,2021,62,63,56,63,64,60,62,61,70,67,68,57,212
HXWZEE,2021,59,65,55,54,56,58,56,51,63,55,58,60,212
Z8J7WD,2021,61,63,59,63,63,59,57,57,74,63,62,59,212
7YA8VU,2021,65,60,56,67,61,66,61,57,73,63,64,62,212
CPNC7N,2021,61,56,52,61,58,61,58,55,67,64,58,57,212
T7KYLX,2021,58,53,56,56,52,56,55,50,56,55,53,57,212
RDCYKY,2021,55,56,54,54,52,55,54,50,60,52,53,55,212
BVT3U3,2021,64,62,57,59,62,60,62,59,60,60,60,56,212
GY8RFZ,2021,63,62,59,64,66,65,63,60,71,63,62,60,212
HGXLCC,2021,59,57,53,54,53,55,54,52,57,54,55,55,212
AJCYVJ,2021,65,57,52,62,59,60,60,54,61,58,60,53,212
BRZPN7,2021,66,57,58,64,62,60,59,59,75,65,59,58,212
9USRAP,2021,65,58,57,66,64,60,59,65,67,70,68,60,212
W8WLDX,2021,64,58,57,65,61,59,58,58,74,59,60,60,212
8APWMC,2021,69,61,55,64,64,63,63,57,64,58,63,59,212
JLL78Q,2021,66,59,61,60,62,62,58,56,70,65,59,62,212
FZCMS8,2021,62,54,64,59,58,59,57,55,58,56,57,55,212
GWUVPY,2021,62,62,53,59,60,54,59,53,57,55,61,53,212
WDLWDF,2021,63,57,57,67,59,61,58,59,66,67,58,60,212
W8EXTE,2021,62,56,58,58,61,59,60,57,61,60,59,55,212
VWYRPT,2021,61,64,59,60,67,62,61,59,60,55,61,55,212
VAXMYS,2021,62,56,59,60,58,57,61,58,65,58,56,59,212
J3LK3X,2021,64,57,57,60,61,63,56,55,61,54,57,55,212
UACGSJ,2021,63,57,56,60,62,59,58,57,67,63,61,65,212
39QGA3,2021,64,60,56,63,60,66,59,55,60,62,58,59,212
JRANH8,2021,58,63,55,56,56,56,58,55,63,54,57,56,212
ED7M9S,2021,62,60,55,60,68,61,64,58,57,57,61,51,212
GHA7PC,2021,64,55,51,61,57,58,55,55,58,58,56,55,212
8UTNUP,2021,67,59,59,67,62,63,57,61,65,65,65,57,212
3R3RED,2021,65,60,57,62,61,63,60,57,62,62,57,62,212
ZYEQVH,2021,63,57,57,65,62,61,58,57,61,59,60,58,212
FAABYX,2021,60,57,55,57,60,57,56,50,60,55,57,56,212
TUKRDL,2021,70,60,60,63,60,63,56,57,63,64,58,62,212
F9JQLB,2021,61,57,55,58,57,58,61,56,59,58,56,58,212
ECVTST,2021,66,58,62,60,59,59,55,54,66,60,58,67,212
DC8ZGM,2021,65,60,58,58,61,59,62,56,63,60,62,58,212
7PN7ST,2021,60,65,59,66,72,60,63,59,65,58,64,55,212
F9P7N3,2021,64,59,61,62,64,58,59,54,65,57,64,56,212
WAXETX,2021,64,64,57,65,65,62,63,61,73,65,69,60,212
3WAUDK,2021,66,58,58,64,60,65,58,60,72,64,59,61,212
YCSPKH,2021,55,56,54,50,54,52,52,51,56,51,53,54,212
37EHDJ,2021,71,59,60,69,63,62,58,62,74,68,62,62,212
FMJEUL,2022,67,60,61,63,61,60,60,55,61,57,59,58,295
7Y7LDP,2022,64,60,54,68,61,69,65,64,66,61,61,55,295
3SZCHW,2022,68,60,55,63,59,58,59,56,60,58,59,56,295
GKDWQF,2022,66,58,58,64,63,60,58,60,72,64,61,60,295
RBYZHK,2022,63,64,56,60,61,56,62,57,57,53,60,54,295
AVAXSJ,2022,69,57,56,58,61,61,58,55,59,60,59,57,295
C7K7QH,2022,65,56,54,60,58,67,54,52,60,55,57,54,295
WZ9WGH,2022,61,62,55,60,61,62,61,60,58,57,62,56,295
PCAQMA,2022,63,60,59,61,67,59,61,59,59,58,62,57,295
DH7KPP,2022,60,58,52,63,66,62,61,55,60,56,61,53,295
8FNV79,2022,70,61,53,62,58,61,59,57,59,57,60,58,295
BK3NXS,2022,63,57,59,67,62,59,61,62,69,63,60,60,295
BZSKHV,2022,63,56,51,67,62,67,63,59,63,60,62,59,295
EX3C8M,2022,61,56,56,55,56,56,56,54,59,60,56,61,295
LZU7RP,2022,60,69,57,59,62,56,59,55,62,57,60,55,295
MXMXDS,2022,66,59,56,70,65,67,62,61,64,63,66,57,295
XUP3YQ,2022,66,60,61,63,64,60,59,57,73,62,62,59,295
P7HXPX,2022,63,57,55,60,60,61,58,58,62,57,59,56,295
7M87TR,2022,66,58,54,65,58,58,60,59,63,60,60,58,295
XLBFDJ,2022,61,56,55,54,59,53,57,55,62,54,57,54,295
ZHTKWZ,2022,62,61,54,68,61,65,63,64,62,60,66,55,295
FYJKX9,2022,62,57,55,63,60,64,59,55,59,60,60,57,295
QCF73L,2022,58,55,55,56,58,59,55,51,56,54,55,54,295
M9NVFZ,2022,63,55,57,54,56,55,55,54,59,58,57,57,295
DM3QCZ,2022,67,59,57,60,61,59,57,56,70,69,58,62,295
TXSWFX,2022,67,62,56,63,64,64,63,57,68,63,63,58,295
HPDATL,2022,60,65,56,62,59,58,57,54,60,57,60,59,295
FBVH8S,2022,65,59,55,58,59,60,62,53,56,55,60,55,295
P8LMXA,2022,65,60,56,59,59,59,61,58,59,60,63,59,295
7UN8BC,2022,62,56,52,63,61,70,62,56,59,58,60,54,295
ANR9DV,2022,58,57,55,59,61,58,56,54,68,63,59,54,295
LMT7LN,2022,58,55,54,58,57,56,60,55,58,59,58,55,295
WL9YQD,2022,67,57,58,67,61,61,61,60,62,58,61,56,295
FE99SG,2022,62,67,60,60,62,58,58,55,69,61,61,56,295
N9ACH9,2022,62,56,54,64,59,68,59,55,64,63,59,55,295
C3CZFQ,2022,60,53,55,56,57,57,54,53,61,56,58,57,295
LCMWZZ,2022,67,61,55,60,60,61,57,53,59,55,59,57,295
S9GUZP,2022,66,58,57,61,62,59,59,58,70,63,59,58,295
98DQ7B,2022,64,63,61,65,63,59,61,61,63,61,64,61,295
QGLJLL,2022,58,60,51,56,59,55,59,55,58,57,60,57,295
H8UGK7,2022,59,66,56,54,56,55,58,52,59,53,57,56,295
3HCHDC,2022,66,58,57,61,62,59,59,58,70,63,59,58,295
ZLRSQQ,2022,64,57,58,62,58,59,58,57,67,63,59,61,295
SXAQK8,2022,65,57,55,59,60,60,60,52,61,60,56,59,295
U9FJRB,2022,66,69,60,62,67,62,68,61,64,58,66,57,295
QYF3HL,2022,66,58,53,61,59,62,59,57,62,55,59,55,295
NH7HYH,2022,63,56,58,59,62,59,63,58,62,59,63,57,295
ZPPJDD,2022,62,61,53,60,60,58,66,58,62,58,61,59,295
QE37QC,2022,65,60,60,59,61,57,57,54,68,58,58,57,295
TAAPFA,2022,62,60,57,63,65,61,62,56,62,57,62,58,295
P37MJW,2022,61,64,58,63,63,66,68,60,60,58,62,55,295
7NFEUB,2022,64,60,54,65,66,65,63,59,62,60,64,58,295
3XEFAY,2022,62,67,60,62,65,58,60,59,63,60,63,62,295
RKKKR7,2022,61,56,56,60,60,58,61,59,61,59,63,57,295
R8BRJJ,2022,62,63,55,59,58,59,61,57,56,55,57,55,295
FEMFBD,2022,61,60,54,59,61,58,63,62,58,54,59,51,295
LXPQ83,2022,60,69,54,59,61,57,61,57,58,57,66,52,295
LMRGTW,2022,63,59,53,62,62,60,63,61,62,58,61,54,295
LKGNEK,2022,64,61,57,65,60,63,60,59,63,59,61,58,295
SQZBZC,2022,60,59,51,61,58,72,62,55,59,55,57,56,295
FUJAW7,2022,65,54,53,60,58,56,58,55,58,55,59,55,295
FGVPHQ,2022,61,73,58,62,61,59,60,59,59,63,65,58,295
EEEDCX,2022,62,62,61,67,70,66,67,61,69,61,64,63,295
LDXDFN,2022,67,56,59,64,60,60,54,54,65,58,60,59,295
WFSF9Z,2022,66,59,58,65,65,63,61,60,76,65,66,60,295
99GBZC,2022,68,58,59,62,60,59,58,58,73,63,62,59,295
8SQR9J,2022,64,56,56,62,59,59,56,57,72,62,58,59,295
ADARAR,2022,64,60,61,61,62,63,64,58,67,60,61,58,295
7ACNBP,2022,62,57,58,61,61,57,60,55,63,56,59,55,295
SYX83C,2022,66,58,57,62,63,60,59,58,71,63,59,58,295
EAYHVW,2022,67,58,55,66,64,67,62,59,66,61,60,57,295
B7Z33N,2022,66,59,58,62,63,61,60,57,65,61,61,58,295
MM8PG8,2022,60,54,50,57,57,55,56,52,58,56,54,54,295
HSWD8J,2022,63,57,52,62,58,64,58,55,58,58,60,57,295
KCQNHE,2022,64,56,54,61,59,60,59,55,60,54,58,55,295
UG99QW,2022,63,59,58,63,63,58,57,59,71,67,63,59,295
HVYBGZ,2022,60,60,56,65,70,62,66,62,60,56,62,54,295
UNMMMT,2022,66,56,56,63,58,57,58,61,62,59,58,59,295
3QGWZD,2022,61,57,54,62,62,62,59,58,74,64,61,57,295
KZ9EMS,2022,63,59,60,57,61,58,62,58,62,58,59,57,295
JGTGC7,2022,66,56,54,60,59,60,60,54,62,56,57,56,295
AGBPMH,2022,64,57,57,61,61,60,61,54,60,57,61,56,295
VPERD8,2022,62,56,56,56,59,58,57,54,61,60,59,58,295
THZXGY,2022,62,53,61,58,56,55,56,58,61,55,56,56,295
MLQBEL,2022,60,55,52,65,61,60,59,59,65,56,60,53,295
ZDL7PV,2022,61,58,66,63,61,57,58,57,65,59,62,58,295
SEGNCV,2022,64,57,56,57,59,57,54,53,60,57,58,60,295
XSATTW,2022,63,59,57,63,59,59,58,58,66,59,59,59,295
HPTAUB,2022,64,59,58,60,74,60,63,60,59,59,65,52,295
N93LDZ,2022,65,60,53,57,58,57,57,56,57,55,58,58,295
NMSVGS,2022,66,60,56,60,68,62,63,59,61,61,64,56,295
TDR7SM,2022,61,59,51,61,58,58,57,54,59,54,56,56,295
RMRBPH,2022,60,56,57,63,62,58,58,58,76,66,60,57,295
KWTQRF,2022,65,60,57,65,62,58,59,62,71,64,60,59,295
CGETTM,2022,63,56,54,60,59,59,63,64,60,57,64,54,295
QPDLET,2022,65,63,56,59,60,61,66,58,58,61,61,56,295
VQABJF,2022,68,58,54,59,64,59,64,58,61,57,58,58,295
LWCM3T,2022,65,59,53,60,60,59,58,54,60,57,58,57,295
QNGTP9,2022,62,56,57,63,61,60,58,60,73,67,60,67,295
WTDBSU,2022,62,56,53,60,58,56,59,54,58,56,59,58,295
TCTDL9,2022,72,56,53,59,55,57,57,54,58,57,59,56,295
KWFMZ7,2022,64,62,59,70,64,80,72,63,62,60,63,57,295
9HRTEC,2022,64,71,59,60,68,58,66,59,60,58,65,55,295
SCE8YR,2022,63,68,55,65,65,58,64,60,66,59,65,59,295
YJHXGE,2022,64,61,53,57,59,60,57,55,57,54,60,57,295
R3GDVM,2022,61,57,54,62,59,60,59,55,57,53,58,57,295
VPGS8E,2022,63,58,54,63,64,62,60,59,73,65,59,58,295
NA38Q3,2022,63,65,65,60,60,57,60,56,60,56,62,55,295
B3TC3M,2022,63,65,58,64,65,61,66,60,68,57,65,56,295
8RYEGK,2022,65,60,59,66,61,63,60,60,62,59,62,57,295
KYPNGM,2022,64,54,53,60,57,58,59,53,60,56,56,56,295
PFTEEU,2022,68,61,57,62,59,63,58,58,68,57,58,56,295
8EUCHX,2022,62,56,61,57,61,57,54,55,60,61,58,60,295
SMPNE8,2022,66,58,55,58,58,56,56,56,58,54,59,56,295
UVMFWZ,2022,59,59,54,59,57,59,58,58,65,63,61,62,295
DKBSA3,2022,63,59,59,55,61,58,60,55,64,61,58,62,295
8BANG8,2022,67,63,59,61,65,59,60,60,64,59,62,59,295
CXXJFK,2022,66,58,57,62,63,59,58,58,71,63,59,58,295
G8FQZZ,2022,65,60,60,59,61,57,57,54,68,58,58,57,295
T7FWXU,2022,66,60,52,63,57,58,58,55,61,56,59,56,295
TXUYK7,2022,60,58,53,64,58,61,60,61,61,56,59,56,295
MSCQR7,2022,62,59,56,55,56,55,58,51,58,55,54,59,295
SLCHV3,2022,60,56,58,55,54,55,55,53,59,57,61,56,295
9GCT8Y,2022,64,58,56,63,59,62,59,58,67,62,59,59,295
YHTTMH,2022,64,57,53,64,60,57,58,57,64,57,58,56,295
GPZL8J,2022,61,55,58,58,57,55,56,56,66,59,59,58,295
NPGDNS,2022,64,55,55,64,61,58,59,59,59,58,60,55,295
FPSJTC,2022,63,53,58,58,59,57,55,55,67,62,57,58,295
RP9YCK,2022,66,58,57,61,62,59,58,58,70,63,59,58,295
CMX8SB,2022,65,57,57,62,62,59,58,58,70,63,59,58,295
UVPVQC,2022,66,60,62,59,65,58,59,54,61,59,60,56,295
JQZXVN,2022,63,60,54,65,64,69,65,59,63,59,64,56,295
3D3HUT,2022,64,57,53,61,64,62,60,57,62,57,60,56,295
TDUXC3,2022,62,60,55,62,63,58,63,60,64,62,62,54,295
8DNJXA,2022,59,55,55,56,56,56,60,55,57,58,59,57,295
GMLHWP,2022,63,61,54,59,65,56,62,54,58,56,61,57,295
LG7Q7E,2022,62,62,55,61,68,58,63,64,63,60,69,54,295
8WTFTY,2022,63,55,52,63,62,61,59,54,63,59,60,55,295
EPCXSH,2022,66,57,59,69,62,61,58,61,75,71,61,65,295
BLRFES,2022,65,60,56,55,58,55,57,56,59,61,57,55,295
WZRL3N,2022,62,56,65,61,65,56,59,60,69,60,62,58,295
7WURSA,2022,64,66,58,59,60,57,60,55,62,58,61,57,295
VDWQPX,2022,60,54,52,61,54,58,55,55,56,55,57,53,295
LGMK9R,2022,65,58,57,62,59,65,60,58,71,64,60,59,295
AYRKWP,2022,62,57,59,67,61,60,58,60,70,63,59,61,295
KLKBNK,2022,65,55,56,59,57,60,58,55,60,58,58,56,295
TEHYXC,2022,59,59,55,64,59,57,57,58,63,53,57,56,295
AGCMDJ,2022,63,55,52,61,59,57,56,55,59,63,58,52,295
AWZFEW,2022,61,67,54,61,65,54,63,58,63,57,64,57,295
TN7KSF,2022,66,62,55,58,62,60,61,55,60,59,63,59,295
TP3NYR,2022,65,61,58,62,59,62,57,58,61,62,60,62,295
NYUAKX,2022,62,59,54,62,58,58,58,58,59,58,59,59,295
KDFCC3,2022,58,63,59,56,58,54,56,52,59,57,54,55,295
W3QBYT,2022,64,64,53,61,62,60,64,61,60,57,62,57,295
DEV3VC,2022,62,62,59,59,66,57,62,57,62,58,64,56,295
W3HFXN,2022,60,67,57,66,60,60,61,59,61,58,62,54,295
ZCTMES,2022,60,55,56,56,58,59,58,56,61,56,58,56,295
MMHYXY,2022,59,54,54,59,58,62,57,53,58,56,57,53,295
WHDBZH,2022,60,57,51,60,59,59,58,59,62,57,59,56,295
AXW7EY,2022,61,54,60,57,60,57,54,54,61,60,57,58,295
VTGDPT,2022,68,60,55,64,62,62,62,57,62,54,63,56,295
YDUU88,2022,63,57,51,67,61,64,63,60,65,58,61,53,295
BAAAJE,2022,64,65,53,58,61,60,60,56,63,57,60,58,295
ESQUUF,2022,58,54,55,61,57,55,54,57,67,58,58,57,295
PCFZYM,2022,61,53,59,61,58,57,57,57,59,57,58,55,295
XVLRMV,2022,61,56,52,53,50,54,54,51,59,58,55,57,295
URPCTG,2022,63,56,55,59,61,57,58,56,60,54,58,55,295
BPL3ZZ,2022,65,60,55,63,61,59,58,59,60,59,58,59,295
CWP3DG,2022,67,57,60,64,61,65,57,58,70,65,59,61,295
BQCZLE,2022,61,57,55,63,59,60,61,59,60,60,62,57,295
CJL7XN,2022,61,56,55,59,59,60,55,58,59,61,62,55,295
DFDFL7,2022,69,63,60,63,68,61,62,60,62,62,66,63,295
CUD7ZW,2022,61,56,54,60,58,58,54,57,60,65,61,59,295
TN7NJQ,2022,59,62,57,53,54,53,57,53,56,55,57,52,295
URSLSK,2022,64,53,54,61,54,56,55,57,59,59,58,56,295
WKYAKQ,2022,62,58,52,58,61,61,56,54,60,54,60,55,295
P739AS,2022,62,53,52,63,59,64,59,57,59,57,56,52,295
8KPCJV,2022,63,58,59,62,59,57,56,61,75,61,60,58,295
DACGVL,2022,66,61,58,64,60,65,61,58,67,60,62,60,295
9LNVTB,2022,63,57,54,63,58,60,58,55,60,58,58,57,295
Y8SLTY,2022,66,58,57,62,62,59,58,58,71,63,59,58,295
R7RGD7,2022,67,56,53,62,62,60,60,58,60,57,60,56,295
8X3FJG,2022,65,59,57,64,63,59,60,62,72,63,61,58,295
YFUQ9L,2022,61,61,59,57,58,56,57,58,64,58,57,60,295
Y9QC7L,2022,67,59,61,65,64,61,57,59,70,64,58,60,295
DDGUUA,2022,66,64,56,74,65,71,68,63,65,62,66,61,295
FYERQS,2022,62,58,54,55,56,55,56,53,57,56,56,56,295
9EZNGR,2022,57,61,54,58,57,55,56,54,67,55,58,57,295
DBP8BU,2022,66,61,61,66,63,63,57,61,72,63,63,67,295
ETQJQZ,2022,62,59,54,61,58,56,55,55,59,55,61,57,295
3NHELJ,2022,63,56,57,58,59,55,57,57,65,60,57,57,295
K98GTJ,2022,67,59,57,67,62,61,61,59,63,61,61,57,295
9LV9BV,2022,57,52,48,52,51,55,53,48,50,52,53,54,295
78LHTD,2022,61,57,52,61,57,67,59,54,60,58,57,55,295
CB9US7,2022,61,54,54,62,61,59,57,55,64,59,57,55,295
DNJRLQ,2022,60,63,55,57,63,52,60,55,60,58,61,53,295
3NHE8Q,2022,59,61,55,64,60,63,62,60,69,63,63,57,295
KML3VC,2022,65,57,56,61,63,59,63,57,64,59,59,56,295
EFTVFL,2022,65,59,60,62,65,60,62,60,67,62,63,59,295
33RNKA,2022,59,66,57,57,54,57,59,51,61,58,57,58,295
TY8UF8,2022,60,63,59,58,62,60,58,57,64,59,61,58,295
ATFBUC,2022,62,59,51,61,55,57,56,54,58,56,59,55,295
YA9GVH,2022,62,64,58,57,57,59,57,56,61,56,59,61,295
UVRVUR,2022,58,61,53,56,55,55,57,57,56,55,66,56,295
3XVF8J,2022,61,57,55,60,59,57,57,55,60,55,61,55,295
K7VGTT,2022,66,61,56,66,60,63,62,59,64,62,63,60,295
ZFDLJR,2022,57,61,54,64,61,58,60,57,61,57,60,53,295
FGKT9J,2022,65,59,55,59,62,61,64,55,61,56,60,57,295
PAYSES,2022,68,60,57,63,60,58,59,58,62,58,57,60,295
RAYSXN,2022,66,62,58,67,64,60,59,66,60,62,64,60,295
HUJMQT,2022,66,56,55,62,58,59,58,55,60,56,56,58,295
GTKRYJ,2022,62,57,49,58,58,57,57,55,58,56,56,54,295
7399EL,2022,63,63,55,64,56,57,57,56,58,55,60,56,295
C7E3ZG,2022,65,62,59,65,61,63,58,62,70,65,64,63,295
FVGVZH,2022,65,61,60,61,60,60,61,57,62,61,59,60,295
YZSYKC,2022,58,56,54,65,60,61,60,55,64,59,59,55,295
PXJNFZ,2022,59,58,56,59,67,55,62,58,56,58,60,54,295
XKKSNH,2022,60,54,55,60,58,57,55,58,57,55,55,52,295
W3AE8E,2022,65,60,58,66,69,59,65,63,59,60,64,58,295
SYWYNR,2022,64,57,56,60,56,59,57,57,55,57,60,56,295
BREBMX,2022,61,59,56,60,63,58,57,59,74,66,62,63,295
JDMYCD,2022,62,56,53,60,58,58,58,58,63,58,56,56,295
KPTPRD,2022,60,56,55,61,60,57,56,60,75,60,60,60,295
YVDMAH,2022,64,61,56,66,65,64,62,59,68,62,63,61,295
8VGVF8,2022,59,54,54,60,53,55,54,55,59,58,58,56,295
FDVNW3,2022,64,59,55,62,59,68,58,55,61,56,60,54,295
DLUS7B,2022,69,74,61,63,68,63,63,60,67,63,65,60,295
URRHGP,2022,66,62,63,65,65,58,62,70,69,63,66,59,295
X3XL3D,2022,63,59,56,64,70,60,61,59,66,62,63,57,295
TBC8JU,2022,63,55,56,58,56,53,55,53,59,58,56,57,295
JLFGYC,2022,63,62,52,57,65,60,66,55,60,54,61,53,295
3QNTQT,2022,66,59,55,66,63,68,61,56,63,58,62,57,295
TWTPNA,2022,63,59,59,61,68,59,61,59,67,62,63,59,295
SMHLTX,2022,66,57,57,60,61,59,57,61,64,73,62,57,295
X8HNXU,2022,65,60,61,65,64,62,59,58,74,63,60,62,295
SLATUT,2022,64,60,50,58,57,56,60,59,58,52,58,55,295
WDLF8P,2022,61,60,62,64,63,61,62,61,63,60,63,57,295
7CPAR7,2022,60,59,54,66,69,62,68,65,60,59,62,54,295
R9CARG,2022,68,59,58,62,66,61,61,58,72,63,62,57,295
X3YWKM,2022,63,61,56,58,58,57,57,56,64,59,61,59,295
QFVL88,2022,59,65,55,54,56,58,56,51,62,55,58,60,295
MMWARS,2022,64,58,54,64,61,59,58,59,72,64,60,58,295
BVUBQW,2022,67,62,60,63,62,58,57,53,63,57,58,58,295
NEAVW9,2022,64,59,56,60,59,56,54,55,59,57,58,61,295
VQCJUP,2022,60,64,55,56,58,56,57,53,58,55,58,53,295
DVSRME,2022,60,58,56,57,61,54,59,56,60,52,59,57,295
E3VDJX,2022,67,58,56,62,59,60,57,57,61,56,59,57,295
GWLJ79,2022,60,60,52,59,65,57,59,57,60,57,62,57,295
MRNTPK,2022,63,58,57,63,63,62,57,60,63,63,64,54,295
NDG9GT,2022,57,54,54,57,60,62,66,59,54,52,58,50,295
TEYN89,2022,65,59,52,63,58,58,58,53,60,55,58,55,295
HHWKMW,2022,62,57,57,62,59,57,58,55,59,56,59,54,295
8CKEL7,2022,66,68,59,65,63,61,60,57,65,60,63,59,295
